Domain,Certificate Score,Protocol Score,Key Score,Cipher Score,Overall Grade
mof.gov.vn,100,70,100,0,E,
ictu.edu.vn,100,90,100,30,C,
famy.vn,100,70,100,70,B,
kplus.vn,100,90,100,70,A,
foody.vn,100,70,100,70,B,
datdanang.vn,100,90,100,0,E,
backan.gov.vn,100,100,100,100,A+,
congluan.vn,100,70,100,70,B,
anninhthudo.vn,100,100,100,100,A+,
udn.vn,100,70,100,30,D,
binhduong.gov.vn,100,90,100,70,A,
omnitouch.vn,100,80,100,100,A+,
traungonfoods.vn,100,90,100,70,A,
nhandan.org.vn,100,100,100,100,A+,
vnxf.vn,100,90,100,70,A,
saostar.vn,100,70,100,70,B,
mic.gov.vn,100,70,100,70,B,
tramoc.com.vn,100,90,100,100,A+,
vtcmobile.vn,100,70,100,70,B,
viwasupco.com.vn,100,90,100,70,A,
ctu.edu.vn,100,90,100,70,A,
cfi.edu.vn,100,100,100,100,A+,
baoquocte.vn,100,80,100,100,A+,
momo.vn,100,80,100,100,A+,
hatinh.gov.vn,100,80,100,100,A+,
hou.edu.vn,100,70,100,70,B,
luatvn.vn,100,100,100,100,A+,
lazi.vn,100,100,100,100,A+,
raovat.vn,100,100,100,100,A+,
mard.gov.vn,100,70,100,70,B,
vinacorp.vn,100,90,100,70,A,
toquoc.vn,100,100,100,100,A+,
doanhnhansaigon.vn,100,80,100,100,A+,
danifoods.vn,100,90,100,100,A+,
vietstarland.vn,100,90,100,0,E,
fpt.edu.vn,100,80,100,100,A+,
kigimex.com.vn,100,70,100,70,B,
yukisuperkingred.com.vn,100,100,100,100,A+,
petrotimes.vn,100,90,100,70,A,
shophoathuymoc.com.vn,100,90,100,70,A,
vietinbank.vn,100,70,100,70,B,
hanoi.gov.vn,100,90,100,70,A,
viettelidc.com.vn,100,90,100,70,A,
dot.vn,100,100,100,100,A+,
kenhsinhvien.vn,100,90,100,0,E,
thethao247.vn,100,80,100,100,A+,
baophapluat.vn,100,100,100,100,A+,
tokhaiyte.vn,100,70,100,70,B,
techz.vn,100,80,100,100,A+,
sbv.gov.vn,100,90,100,70,A,
vietteltelecom.vn,100,70,100,0,E,
allniche.vn,100,100,100,100,A+,
vietnamfinance.vn,100,80,100,100,A+,
baoxaydung.com.vn,100,80,100,100,A+,
tlu.edu.vn,100,80,100,100,A+,
cooky.vn,100,70,100,70,B,
phuot.vn,100,80,100,100,A+,
sapo.vn,100,80,100,100,A+,
phunuonline.com.vn,100,70,100,70,B,
thietkeyenphu.com.vn,100,70,100,70,B,
binhphuoc.gov.vn,100,90,100,70,A,
covid19.gov.vn,100,100,100,100,A+,
cellphones.com.vn,100,80,100,100,A+,
hvacr.vn,100,80,100,100,A+,
nguoixunghekiev.vn,100,100,100,100,A+,
meta.vn,100,80,100,100,A+,
bdkhtravinh.vn,100,80,100,100,A+,
vbpl.vn,100,90,100,70,A,
vietnammoi.vn,100,80,100,100,A+,
backup.vn,100,90,100,70,A,
yenbai.gov.vn,100,70,100,0,E,
tinnhanhchungkhoan.vn,100,100,100,100,A+,
caphesang.vn,100,80,100,100,A+,
bongda24h.vn,100,80,100,100,A+,
hanoitimes.vn,100,70,100,70,B,
traminco.com.vn,100,100,100,100,A+,
canthopromotion.vn,100,70,100,70,B,
ferado.vn,100,100,100,100,A+,
nhakhoadaiduong.vn,100,100,100,100,A+,
bongdaso.com.vn,100,90,100,70,A,
vdi.vn,100,100,100,100,A+,
nangluongvietnam.vn,100,90,100,70,A,
ogreen.vn,100,70,100,0,E,
vietcargo.vn,100,80,100,100,A+,
mygear.vn,100,90,100,70,A,
baodansinh.vn,100,70,100,70,B,
phunutoday.vn,100,100,100,100,A+,
ticketbox.vn,100,100,100,100,A+,
baonghean.vn,100,100,100,100,A+,
adammuzic.vn,100,100,100,100,A+,
tuvisomenh.com.vn,100,90,100,70,A,
huce.edu.vn,100,70,100,70,B,
elle.vn,100,70,100,70,B,
inducdung.vn,100,100,100,100,A+,
vnpt.vn,100,70,100,70,B,
vnmedia.vn,100,90,100,70,A,
legroup.com.vn,100,100,100,100,A+,
piaget.edu.vn,100,100,100,100,A+,
infonet.vn,100,90,100,70,A,
viettimes.vn,100,90,100,70,A,
tuaf.edu.vn,100,70,100,70,B,
congly.vn,100,70,100,70,B,
thanhhoa.gov.vn,100,70,100,0,E,
careerbuilder.vn,100,70,100,70,B,
voh.com.vn,100,100,100,100,A+,
techcombank.com.vn,100,90,100,70,A,
vietq.vn,100,80,100,100,A+,
rmit.edu.vn,100,100,100,100,A+,
baodanang.vn,100,90,100,70,A,
tiin.vn,100,70,100,70,B,
bongdaplus.vn,100,70,100,70,B,
uca.com.vn,100,70,100,70,B,
dergo.vn,100,100,100,100,A+,
vjog.vn,100,100,100,100,A+,
misa.vn,100,100,100,100,A+,
tapchitaichinh.vn,100,70,100,70,B,
galaxyvietnam.vn,100,100,100,100,A+,
dongthap.gov.vn,100,90,100,0,E,
admicro.vn,100,100,100,100,A+,
vietnaminsider.vn,100,100,100,100,A+,
sggpnews.org.vn,100,100,100,100,A+,
baocantho.com.vn,100,70,100,70,B,
vinamilk.com.vn,100,90,100,70,A,
inet.net.vn,100,100,100,100,A+,
moj.gov.vn,100,70,100,70,B,
fff.com.vn,100,70,100,0,E,
vilo.vn,100,100,100,100,A+,
quangnam.gov.vn,100,70,100,0,E,
mt.gov.vn,100,70,100,0,E,
acb.com.vn,100,90,100,70,A,
nhadepdongphong.vn,100,100,100,100,A+,
etgo.vn,100,80,100,100,A+,
vinhphuc.gov.vn,100,70,100,0,E,
halongcity.gov.vn,100,70,100,0,E,
tintuc.vn,100,70,100,70,B,
most.gov.vn,100,90,100,70,A,
hueuni.edu.vn,100,80,100,100,A+,
quangninh.gov.vn,100,90,100,0,E,
hanhphucgiadinh.vn,100,70,100,70,B,
lyhocdongphuong.org.vn,100,90,100,70,A,
fpt.com.vn,100,80,100,100,A+,
phimmoi.com.vn,100,90,100,100,A+,
bocongan.gov.vn,100,70,100,70,B,
vnpost.vn,100,70,100,70,B,
nukeviet.vn,100,80,100,100,A+,
vaccinephucuong.vn,100,70,100,70,B,
diendandoanhnghiep.vn,100,90,100,0,E,
hchoanglong.vn,100,100,100,100,A+,
baotainguyenmoitruong.vn,100,70,100,70,B,
agribank.com.vn,100,70,100,70,B,
vass.gov.vn,100,70,100,0,E,
gamek.vn,100,100,100,100,A+,
duhocphap.edu.vn,100,80,100,100,A+,
samsongreen.vn,100,100,100,100,A+,
baohiemxahoi.gov.vn,100,100,100,100,A+,
molisa.gov.vn,100,70,100,0,E,
lecourrier.vn,100,90,100,70,A,
iprice.vn,100,70,100,70,B,
