Domain,Certificate Score,Protocol Score,Key Score,Cipher Score,Overall Grade
thuonghieucongluan.com.vn,100,80,100,100,A+,
amec.com.vn,100,90,100,70,A,
catcat.com.vn,100,100,100,100,A+,
oenix.vn,100,100,100,100,A+,
toyota.com.vn,100,90,100,70,A,
ktkttayninh.edu.vn,100,100,100,100,A+,
vietadsgroup.vn,100,90,100,70,A,
media.org.vn,100,100,100,100,A+,
hhmaps.vn,100,100,100,100,A+,
nuce.edu.vn,100,70,100,70,B,
moclegia.vn,100,100,100,100,A+,
otomiennam.com.vn,100,100,100,100,A+,
vietfones.vn,100,70,100,70,B,
kiengiang.gov.vn,100,100,100,100,A+,
hacom.vn,100,70,100,70,B,
vietnix.vn,100,70,100,70,B,
hmu.edu.vn,100,70,100,70,B,
samsonaudio.vn,100,70,100,0,E,
business.gov.vn,100,70,100,70,B,
bienphong.com.vn,100,70,100,70,B,
vinhuni.edu.vn,100,70,100,70,B,
hanu.vn,100,70,100,70,B,
accs.vn,100,80,100,100,A+,
timnhaphanphoi.vn,100,70,100,70,B,
sohuutritue.net.vn,100,80,100,100,A+,
khampha.vn,100,90,100,70,A,
